16
1	2	3	4	5	6	7	8	9	0	-9	-8	-7	-6	-5	-4	-3
-2	-2	-1	0	0	7	6	5	3	-9	-8	-6	-5	-3	-4	8	4
2	6	8	-7	-9	-5	-9	-5	-3	4	5	7	8	9	-9	-8	0
0	9	8	4	-4	-6	-1	7	4	-9	-2	-1	3	5	7	2	7
5	8	6	4	9	0	8	7	6	5	-9	-6	-2	-3	-6	8	4
6	8	9	0	0	9	1	2	3	4	5	4	-5	-9	0	-9	-6
-7	-4	-3	-2	-1	9	6	4	6	1	1	2	4	5	7	-9	-7
-5	-4	0	0	9	0	9	0	-8	-3	-2	-1	9	0	4	3	4
6	7	8	4	5	2	3	5	6	7	8	-9	-6	-3	-2	-1	8
0	0	7	6	-9	-5	6	-7	-9	-4	4	5	7	8	3	5	0
9	8	1	2	3	-7	-1	-2	0	0	-8	-2	-3	-4	-5	0	9
7	5	7	8	9	-9	-8	0	0	-2	-3	3	-4	5	-6	-7	-8
6	-5	3	4	6	-9	4	-8	4	-4	5	-6	7	-8	3	2	1
0	0	7	-9	0	-7	-5	-6	-8	-3	-2	3	4	7	6	3	4
4	4	9	2	4	6	8	9	0	6	4	2	-8	-3	-7	-5	-8
-9	-3	-1	1	-2	2	-3	3	-4	4	-5	5	-6	-6	7	8	9
