15
-1	0	-1	1	-2	0	-1	3	0	3	1	2	-4	6	0	-6
0	1	-2	2	0	0	1	-3	4	-4	0	1	-2	8	2	-4
-6	6	0	0	1	2	-2	-1	-4	0	3	2	0	-2	-2	-2
1	-1	2	-2	0	0	1	-3	3	-4	0	0	0	-4	-1	2
-8	8	4	0	0	0	2	2	1	-1	0	-4	5	8	0	6
9	-9	5	-5	0	0	0	-3	3	2	-2	0	0	1	0	-8
1	1	0	0	7	-7	1	-1	0	0	2	1	-1	0	-3	4
4	-4	2	-2	-2	6	0	0	2	-1	1	0	2	4	-4	-5
1	0	2	-1	1	0	1	3	-1	0	0	-2	0	-4	1	11
-8	4	-3	2	0	0	-1	0	-2	1	1	-6	6	8	8	-11
4	-4	2	-2	-1	-1	0	1	1	1	4	2	-2	2	0	1
7	-9	6	0	3	-2	-1	2	0	1	1	8	0	-1	1	-1
-1	-2	-4	0	0	3	1	6	9	0	-1	0	1	-2	0	9
-1	-1	0	0	4	-4	-4	0	0	3	-3	-2	-1	11	-1	-9
0	1	1	0	1	0	-1	-3	-4	-8	0	2	0	1	0	3
